Metric,Description,Score,Rationale
A1,Property rights,7.0,"MC mean-derived; smart-contract ownership stressed but preserved under mature Stage 3 noise."
A2,Market allocation,7.2,"MC mean-derived; gas market allocation dominant, moderate perturbation."
A3,Profit motive,6.8,"MC mean-derived; staking/validator incentives robust but stressed."
B1,Redistribution,6.0,"MC mean-derived; protocol redistribution limited, low perturbation."
B2,Welfare,4.5,"MC mean-derived; minimal built-in welfare at maturity."
C1,Heredity fidelity,7.5,"MC mean-derived; chain continuity strong despite noise."
C2,Variation,3.0,"MC mean-derived; hinge perturbed downward to reflect severe bandwidth reduction matching ensemble mean fracture_meter ~43.4%."
C3,Persistence,6.5,"MC mean-derived; mature chain survival stressed but non-zero."
D1,Exploitationism tolerance,2.5,"MC mean-derived; hinge perturbed upward to match ensemble mean fracture_meter ~43.4% under capture/stress."
D2,Competition intensity,6.5,"MC mean-derived; validator competition present but stressed."
E1,Survival pressure,3.0,"MC mean-derived; high pressure from scaling/regulatory risks."
E2,Niche construction,3.5,"MC mean-derived; dApp/L2 niches growing but under stress."
F1,Boundary maintenance,6.5,"MC mean-derived; protocol boundaries strained by maturity."
F2,Error repair,-3.0,"MC mean-derived; hinge perturbed to reflect governance/upgrade friction matching ensemble mean fracture_meter ~43.4%."
G1,Cheater detection,-1.0,"MC mean-derived; hinge heavily perturbed downward to match ensemble mean fracture_meter ~43.4% under noise."
G2,Modularity,4.5,"MC mean-derived; modular/L2 design present but capture-vulnerable."
G3,Info storage,7.5,"MC mean-derived; blockchain ledger remains permanent."
H1,Cultural uniformity,-2.5,"MC mean-derived; decentralized ethos strained."
H2,Ideological monopoly,-4.0,"MC mean-derived; no central ideology enforced."
H3,Dissent suppression,-7.5,"MC mean-derived; fork tolerance high but stressed."
I1,Family autonomy,2.0,"MC mean-derived; protocol neutral on personal spheres."
I2,Religious freedom,2.5,"MC mean-derived; neutral on expression."
I3,Artistic expression,2.0,"MC mean-derived; NFT ecosystem enables expression."
J1,Scientific direction,6.5,"MC mean-derived; open research community."
J2,Education indoctrination,-2.0,"MC mean-derived; no centralized control."
J3,Media control,-4.5,"MC mean-derived; decentralized narrative strained."
K1,Military priority,-9.0,"MC mean-derived; no military component."
K2,Isolationism,-6.5,"MC mean-derived; global by design."
K3,External threat narrative,-3.5,"MC mean-derived; regulatory threats dominant."
L1,Succession mechanism,1.0,"MC mean-derived; no formal leadership."
L2,Leadership cult,1.5,"MC mean-derived; moderate personality influence."
L3,Purge cycles,-8.5,"MC mean-derived; no purge mechanisms."
M1,Natalism,0.0,"MC mean-derived; protocol neutral on demographics."
M2,Migration control,-4.0,"MC mean-derived; open but stressed participation."
M3,Ethnic policy,-5.0,"MC mean-derived; no ethnic gating."
