Metric,Description,Score,Rationale
A1,Property rights,5.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
A2,Market allocation,5.8,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
A3,Profit motive,6.4,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
B1,Redistribution,2.1,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
B2,Welfare,1.6,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
C1,Heredity fidelity,4.1,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
C2,Variation,3.2,"MC mean-derived; slight hinge perturbation to match ensemble mean fracture_meter 39.8%."
C3,Persistence,1.8,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
D1,Exploitationism tolerance,2.5,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 39.8%."
D2,Competition intensity,4.1,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
E1,Survival pressure,1.1,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
E2,Niche construction,4.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
F1,Boundary maintenance,3.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
F2,Error repair,0.0,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 39.8%."
G1,Cheater detection,1.5,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 39.8%."
G2,Modularity,4.1,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
G3,Info storage,5.9,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
H1,Cultural uniformity,0.9,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
H2,Ideological monopoly,1.6,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
H3,Dissent suppression,0.5,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 39.8%."
I1,Family autonomy,0.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
I2,Religious freedom,0.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
I3,Artistic expression,0.1,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
J1,Scientific direction,2.4,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
J2,Education indoctrination,0.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
J3,Media control,0.5,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
K1,Military priority,-3.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
K2,Isolationism,-3.3,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
K3,External threat narrative,0.2,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
L1,Succession mechanism,1.1,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
L2,Leadership cult,3.0,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 39.8%."
L3,Purge cycles,-1.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
M1,Natalism,0.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
M2,Migration control,-1.0,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
M3,Ethnic policy,-1.7,"MC mean-derived; adjusted under noise from 2019 genesis consensus."
