Metric,Description,Score,Rationale
A1,Property rights,8.1,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
A2,Market allocation,7.4,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
A3,Profit motive,9.2,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
B1,Redistribution,2.4,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
B2,Welfare,1.9,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
C1,Heredity fidelity,5.2,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
C2,Variation,6.0,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 51.2%."
C3,Persistence,4.0,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
D1,Exploitationism tolerance,7.8,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 51.2%."
D2,Competition intensity,7.1,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
E1,Survival pressure,5.0,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
E2,Niche construction,7.8,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
F1,Boundary maintenance,5.0,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
F2,Error repair,-5.0,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 51.2%."
G1,Cheater detection,0.0,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 51.2%."
G2,Modularity,6.3,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
G3,Info storage,8.0,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
H1,Cultural uniformity,2.4,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
H2,Ideological monopoly,2.5,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
H3,Dissent suppression,2.5,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 51.2%."
I1,Family autonomy,2.3,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
I2,Religious freedom,1.7,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
I3,Artistic expression,2.7,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
J1,Scientific direction,4.5,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
J2,Education indoctrination,2.2,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
J3,Media control,2.0,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
K1,Military priority,-4.0,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
K2,Isolationism,-5.8,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
K3,External threat narrative,1.8,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
L1,Succession mechanism,2.3,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
L2,Leadership cult,6.4,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 51.2%."
L3,Purge cycles,-1.5,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
M1,Natalism,0.0,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
M2,Migration control,-5.0,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
M3,Ethnic policy,-1.8,"MC mean-derived; adjusted under noise from 2021 parabolic consensus."
