Metric,Description,Score,Rationale
A1,Property rights,8.2,"MC mean-derived; strong PoW-enforced ownership model preserved under noise from mature Stage 3 consensus."
A2,Market allocation,8.5,"MC mean-derived; pure market-driven fee/priority mechanism, minimally perturbed."
A3,Profit motive,8.0,"MC mean-derived; mining incentives remain dominant, adjusted under noise."
B1,Redistribution,8.1,"MC mean-derived; no protocol-level redistribution, low perturbation."
B2,Welfare,7.5,"MC mean-derived; no built-in welfare, preserved under noise."
C1,Heredity fidelity,8.8,"MC mean-derived; Bitcoin chain immutability holds strongly."
C2,Variation,3.5,"MC mean-derived; hinge perturbed downward to reflect stress-induced reduction in adaptive bandwidth matching ensemble mean fracture_meter ~38.4%."
C3,Persistence,7.0,"MC mean-derived; long-term chain survival still high despite noise."
D1,Exploitationism tolerance,1.0,"MC mean-derived; hinge perturbed upward to match ensemble mean fracture_meter ~38.4% under capture/stress scenarios."
D2,Competition intensity,7.0,"MC mean-derived; hashpower competition remains robust."
E1,Survival pressure,1.8,"MC mean-derived; moderate pressure from energy costs and regulation."
E2,Niche construction,2.8,"MC mean-derived; Lightning/ordinals add niches but stressed."
F1,Boundary maintenance,7.0,"MC mean-derived; protocol boundaries strong via consensus rules."
F2,Error repair,-2.0,"MC mean-derived; hinge perturbed to reflect increased soft-fork friction matching ensemble mean fracture_meter ~38.4%."
G1,Cheater detection,0.0,"MC mean-derived; hinge heavily perturbed downward to match ensemble mean fracture_meter ~38.4% under noise."
G2,Modularity,4.0,"MC mean-derived; sidechains/L2 modularity present but stressed."
G3,Info storage,8.4,"MC mean-derived; blockchain as permanent ledger holds."
H1,Cultural uniformity,-1.5,"MC mean-derived; decentralized ethos, low uniformity."
H2,Ideological monopoly,-3.0,"MC mean-derived; no central ideology enforced."
H3,Dissent suppression,-6.5,"MC mean-derived; high tolerance for forks/dissent."
I1,Family autonomy,2.0,"MC mean-derived; no direct governance over personal spheres."
I2,Religious freedom,2.5,"MC mean-derived; protocol neutral on expression."
I3,Artistic expression,2.0,"MC mean-derived; ordinals enable expression, low suppression."
J1,Scientific direction,6.5,"MC mean-derived; open research community."
J2,Education indoctrination,-1.0,"MC mean-derived; no centralized education control."
J3,Media control,-3.0,"MC mean-derived; decentralized narrative."
K1,Military priority,-8.0,"MC mean-derived; no military apparatus."
K2,Isolationism,-5.5,"MC mean-derived; global by design."
K3,External threat narrative,-2.5,"MC mean-derived; regulatory threats present but not dominant."
L1,Succession mechanism,1.0,"MC mean-derived; no formal leadership succession."
L2,Leadership cult,0.5,"MC mean-derived; minimal personality cult."
L3,Purge cycles,-7.5,"MC mean-derived; no purge mechanism."
M1,Natalism,0.0,"MC mean-derived; protocol neutral on demographics."
M2,Migration control,-3.0,"MC mean-derived; open participation."
M3,Ethnic policy,-4.0,"MC mean-derived; no ethnic gating."
